Community Number,Community Name,Total population,Sector
101,NAKHLAT DEIRA,2,1
111,AL CORNICHE,1655,1
112,AL RASS,7314,1
113,AL DHAGAYA,15453,1
114,AL BUTEEN,2766,1
115,AL SABKHA,3861,1
116,AYAL NASIR,18925,1
117,AL MURAR,38294,1
118,NAIF,48804,1
119,AL REGA,10279,1
121,CORNICHE DEIRA,14,1
122,AL BARAHA,24373,1
123,AL MUTEENA,43473,1
124,AL MURQABAT,68717,1
125,REGA AL BUTEEN,6984,1
126,ABU HAIL,16905,1
127,HOR AL ANZ,81741,1
128,AL KHBEESI,1952,1
129,PORT SAEED,13266,1
131,AL HAMRIYA PORT,468,1
132,AL WAHEDA,20392,1
133,HOR AL ANZ EAST,20847,1
134,AL MAMZER,14178,1
213,NAD SHAMMA,2964,2
214,AL GARHOUD,18424,2
215,UM RAMOOL,3545,2
216,AL RASHIDIYA,34594,2
221,DUBAI  AIRPORT,22,2
226,AL TWAR FIRST,10957,2
227,AL TWAR SECOND,4577,2
228,AL TWAR THIRD,10217,2
231,AL NAHDA FIRST,29011,2
232,AL QUSAIS FIRST,41818,2
233,AL QUSAIS SECOND,11442,2
234,AL QUSAIS THIRD,6812,2
241,AL NAHDA SECOND,56489,2
242,AL QUSAIS IND. FIRST,8362,2
243,AL QUSAIS IND. SECOND,8063,2
244,MUHAISANAH THIRD,6129,2
245,MUHAISANAH FOURTH,32346,2
246,AL QUSAIS IND. THIRD,2559,2
247,AL QUSAIS IND. FOURTH,2476,2
248,AL QUSAIS IND FIFTH,1286,2
251,MURDAF,60288,2
252,MUSHRAIF,63,2
261,MUHAISANAH FIRST,7375,2
262,AL MEZHAR FIRST,15806,2
263,AL MEZHAR SECOND,10781,2
264,MUHAISANAH SECOND ,197838,2
265,OUD AL MUTEEN FIRST,12510,2
266,OUD AL MUTEEN SECOND ,5047,2
267,MUHAISANAH FIFTH,2,2
268,OUD AL MUTEEN THIRD ,6344,2
271,WADI ALAMRADI,3193,2
281,AL KHAWANEEJ ONE,12241,2
282,AL KHAWANEEJ TWO,3865,2
283,AL AYAS,1706,2
284,AL TTAY,805,2
302,JUMEIRA BAY,39,3
303,WORLD ISLANDS,7,3
304,JUMEIRA ISLAND 2,3,3
311,AL SHANDAGA,2,3
312,AL SUQ AL KABEER,46929,3
313,AL HAMRIYA,33421,3
314,UM HURAIR FIRST,5351,3
315,UM HURAIR SECOND,4867,3
316,AL RAFFA,42904,3
317,AL MANKHOOL,37400,3
318,AL KARAMA,70558,3
319,OUD METHA,13616,3
321,MADINAT DUBAI AL MELAHEYAH (AL MINA),14129,3
322,AL HUDAIBA,13034,3
323,AL JAFLIYA,21957,3
324,AL KIFAF,2,3
325,ZAABEEL FIRST,3062,3
326,AL JADAF,4197,3
332,JUMEIRA FIRST,18843,3
333,AL BADA,54338,3
334,AL SATWA,41048,3
335,TRADE CENTER FIRST,15355,3
336,TRADE CENTER SECOND,12155,3
337,ZAABEEL SECOND,7509,3
342,JUMEIRA SECOND,9380,3
343,AL WASL,11156,3
345,BURJ KHALIFA,18698,3
346,AL KALIJ AL TEJARI,19715,3
347,AL MERKADH,819,3
352,JUMEIRA THIRD,12493,3
353,AL SAFFA FIRST,7893,3
354,AL GOZE FIRST,18845,3
355,AL GOZE SECOND,4551,3
356,UM SUQAIM FIRST,10867,3
357,AL SAFFA SECOND,6247,3
358,AL GOZE THIRD,40541,3
359,AL GOZE FOURTH,21788,3
362,UM SUQAIM SECOND,11456,3
363,AL MANARA,7709,3
364,AL GOZE IND. FIRST ,26569,3
365,AL GOZE IND. SECOND ,158543,3
366,UM SUQAIM THIRD,7021,3
367,UM AL SHEIF,4097,3
368,AL GOZE IND. THIRD ,25360,3
369,AL GOZE IND. FOURTH ,38280,3
372,AL SAFOUH FIRST,4112,3
373,AL BARSHAA FIRST,35469,3
375,AL BARSHAA THIRD,13990,3
376,AL BAESHAA SECOND,14815,3
381,NAKHLAT JUMEIRA ,22333,3
382,AL SOFOUH SECOND,5592,3
383,AL THANYAH FIRST (V. RABIE SAHRA'A),22638,3
384,AL THANYAH SECOND (JEBEL ALI HORSE RACING),115,3
388,AL THANYAH THIRD (EMIRATE HILLS SECOND),17737,3
392,MARSA DUBAI (AL MINA AL SEYAHI) ,55052,3
393,AL THANYAH FIFTH (EMIRATE HILLS FIRST) ,37067,3
394,AL THANYAH FOURTH (EMIRATE HILLS THIRD) ,23488,3
412,AL KHEERAN,4641,4
413,RAS AL KHOR,2,4
415,AL KHAIRAN FIRST,2,4
416,NAD AL HAMAR,13589,4
421,AL WARQAA FIRST,21696,4
422,AL WARQAA  SECOND,10237,4
423,AL WARQAA THIRD,14208,4
424,AL WARQAA FOURTH ,12910,4
425,AL WARQAA FIFTH ,60,4
431,WADI ALSHABAK ,55,4
501,NAKHLAT JABAL ALI,5,5
502,AL WAJEHAH AL BHARIYAH,4,5
511,HESSYAN FIRST,3300,5
512,HESSYAN SECOND,45,5
513,SAIH SHUAIB 1,9,5
516,JABAL ALI INDUSTRIAL THIRD,2462,5
518,JABAL ALI INDUSTRIAL SECOND,23000,5
521,MADINAT AL MATAAR,2183,5
531,SAIH SHUAIB 2,13665,5
532,SAIH SHUAIB 3,11144,5
533,SAIH SHUAIB 4,11170,5
591,JABAL ALI FIRST,69115,5
592,JABAL ALI  SECOND,1561,5
593,JABAL ALI THIRD,1513,5
594,MENA JABAL ALI,28600,5
597,DUBAI INVESTMENT PARK2,59763,5
598,DUBAI INVESTMENT PARK1,69000,5
599,JABAL ALI INDUSTRIAL FIRST,129024,5
