name,categories,address,lat,lng,distance
Arabian Tea House Cafe (كافية بيت الشاي العربي),Restaurant & Food,Al Fahidi St,25.26339894786180,55.29969492240870,134
Baskin-Robbins,Restaurant & Food,Al Ain Centre,25.264449733427600,55.29999433928480,23
Al Fahidi Historical Neighbourhood (حي الفهيدي التاريخي),Cultural & Historical,Al Fahidi Historical Neighbourhood,25.26391993791450,55.29988095807350,75
Coffee Museum,Restaurant & Food,Old Town Dubai,25.263667,55.299817,103
Sheikh Mohamed Centre For Cultural Understanding (SMCCU) مركز الشيخ محمد للتواصل الحضاري,Cultural & Historical,Al Bastakiyh,25.26409136126750,55.300794815804100,112
Sikka Art Fair,Cultural & Historical,"Dar Al Nadwa, House 20, Al Bastakiya",25.26400070223390,55.30002673394390,69
MAKE Art Cafe,Restaurant & Food,Al Serkal's Heritage House,25.263959983365200,55.299542246527100,76
XVA Cafe,Restaurant & Food,"Bastakia, Bur Dubai",25.264023755477800,55.29970789562770,65
Mazmi Coffee&More,Restaurant & Food,,25.265007,55.296505,337
Starbucks,Restaurant & Food,Marsa Al Seef,25.26469,55.30403,422
Special Ostadi Kabab (مطعم الأستاد للكباب الخاص),Restaurant & Food,At Mankhool Rd,25.259961,55.29894,524
AMIT Garmin أميت. وكيل جارمن,Retail,Al Ras,25.266268166112400,55.2951460757082,506
Jafer Biman Ali Juices جعفر بيمان علي,Restaurant & Food,"Spice Market, Bani Yas Street",25.26774600903240,55.297645758887800,413
Dubai Museum (متحف دبي),Cultural & Historical,"Al Fahidi Fort, Opposite The Ruler's Ct.",25.263530734880100,55.29727397972410,283
أرض الزعفران,Retail,,25.269840121497700,55.29789951047220,614
Bastikiya Art Cafe,Restaurant & Food,,25.26344924508740,55.29969545483250,128
Best Western Plus Pearl Creek,Hospitality,Baniyas Rd,25.2677858,55.3046898,604
Trattoria Pizzeria,Restaurant & Food,Al Khaleej Hotel,25.268219812259400,55.30366509147470,558
Al Seef Hotel by Jumeirah,Hospitality,,25.263772860591700,55.30524551868440,552
Old Souk (السوق القديم),Retail,Bur Dubai,25.26474197809230,55.29463319070350,523
Bastakiah Nights مطعم ليالي البستكية,Restaurant & Food,Bastakiya,25.264721683916900,55.30046107931350,64
Grand Souq Deira,Retail,,25.267317,55.296957,418
Baskin-Robbins,Restaurant & Food,Al khaleej Shopping Mall,25.259362289923100,55.299147267051700,587
Spice Souk,Retail,Baniyas Rd.,25.26762117295280,55.297510784944800,409
Vaibhav Restaurant,Restaurant & Food,Burdubai,25.262206538037400,55.29410843156180,634
Shiraz Nights Restaurant,Restaurant & Food,Baniyas Square,25.268046628484300,55.30503804828310,649
Jumierah beach,Entertainment,,25.257040544591900,55.30132253027750,854
Al Seef,Entertainment,Al Seef,25.2616508592383,55.30844975772290,927
Al Serkal Cultural Foundation,Cultural & Historical,Heritage House No.13,25.264077,55.299542,65
Dubai City of Gold,Retail,PO BOX 26909 Gold Land,25.27030545807070,55.300048330390100,635
