name,categories,address,lat,lng,distance
Shakespeare and Co. شكسبير أند كو,Restaurant & Food,Community Center,25.056622002242200,55.26993514068960,168
The Hampton’s Cafe,Restaurant & Food,,25.056171,55.269972,150
The Village - Arabian Ranches,Retail,Sheikh Mohammed Bin Zayed Rd,25.056701719228400,55.27051693187760,223
Arabian Ranches Golf Club,Sports,Arabian Ranches,25.05157706192540,55.26867979389990,469
Ranches Restaurant and Bar,Restaurant & Food,Arabian Ranches Golf Club,25.050972838990700,55.26864680979210,536
Pizza Hut,Restaurant & Food,"Community Center, Arabian Ranches ""1""",25.05674345835680,55.27053569694330,227
Maison Mathis 'Arabian Ranches',Restaurant & Food,Sheikh Mohammed Bin Zayed Road,25.05133969924850,55.26920123467870,499
Costa Coffee,Restaurant & Food,Community Center,25.05670159591140,55.27060964280410,232
Caribou Coffee,Restaurant & Food,Arabian Center,25.05516163081090,55.27121109363580,278
Al Arrab,Restaurant & Food,"Community Center, Arabian Ranches ""1""",25.056654639134900,55.27021863677230,194
Burger King,Restaurant & Food,Emarat Station,25.058722736843600,55.264765412640700,501
Carrefour Market,Retail,Community Center,25.056718511295900,55.270469142070700,220
RAKBANK ATM,Bussines,Town Center,25.056456,55.270372,199
Pet's Delight,Retail,Arabian Ranches,25.056692035996400,55.270396104150100,212
Medi-Link Pharmacy,Retail,"Arabian Ranches, Retail Centre",25.056743,55.270571,230
Man'oushe Street (شارع منقوشة),Restaurant & Food,,25.056995,55.27043,233
Medilink Pharmacy,Retail,Arabian Ranches Community Centre,25.056590880940600,55.270682159183900,233
Burger King,Restaurant & Food,"Community Center, Arabian Ranches ""1""",25.056686687209000,55.27079803200610,248
African + Eastern Arabian Ranches,Retail,,25.057155367023000,55.27077931016620,272
Gucci,Retail,Dubai Mall,25.054514,55.27131,313
Bakeria,Restaurant & Food,,25.05869801072530,55.264842506992400,493
