name,categories,address,lat,lng,distance
The Green Planet,Entertainment,,25.206238904235400,55.26043799793100,170
Amorino,Restaurant & Food,City Walk,25.203354450295300,55.261732055829700,191
% ARABICA,Restaurant & Food,Citywalk,25.204485282218500,55.263050278530400,251
Sikka Cafe (سكة),Restaurant & Food,City walk,25.203143108524200,55.26189966377070,220
Rue 71 Patisserie & Tearoom,Restaurant & Food,Al Mostaqbl Street,25.20355444182310,55.262345954750300,220
City Walk (سيتي ووك),Entertainment,Al Wasl Rd,25.207283979694400,55.26227901399230,334
ECLAIR LA PETITE DUCHESSE,Restaurant & Food,City walk,25.203564665785700,55.262236584455200,211
Hub Zero,Entertainment,Al Wasl Rd.,25.206940171812400,55.262489040557300,314
Simit Sarayı,Restaurant & Food,City Walk,25.204219526560100,55.26221773704090,175
Five Guys,Restaurant & Food,فايڤ قايز,25.20532257899530,55.26366466070360,319
The Roxy Cinemas,Entertainment,Al Wasl,25.20718345820240,55.263502049756200,403
La Ville Hotel & Suites,Hospitality,Al Multaqa Street,25.20827849364070,55.260591298333600,396
Mattel Play Town,Entertainment,City Walk,25.207725,55.26231,378
Berkan Steakhouse,Restaurant & Food,City Walk,25.20671034347180,55.260970380245900,225
Clinton St. Baking Company & Restaurant,Restaurant & Food,City Walk2,25.2042690228166,55.26205540128070,158
Gears Of War,Retail,,25.207040379268400,55.262506043562600,324
Look Up rooftop bar,Entertainment,,25.20829487197960,55.26074995564990,399
L'ETO,Restaurant & Food,City Walk 2,25.208451560613000,55.2616894551662,431
The Roxy Cinema Director's Lounge,Entertainment,City walk,25.207304196744300,55.262944771448000,374
Mitts & Trays Restaurant and Cafe,Restaurant & Food,"Shop 1, City Walk Phase 2, Jumeirah",25.208033917785100,55.26289557102640,437
Farzi Cafe,Restaurant & Food,City Walk,25.20827329078570,55.26148234888510,406
Coca-Cola Arena (دبي أرينا),Entertainment,Al Albaany St,25.20384209490100,55.265092849731400,466
smoky garden,Restaurant & Food,city walk,25.207799853721100,55.2615166519282,356
Urth Caffe (إيرث كافيه),Restaurant & Food,Al Safa St,25.208221,55.263431,485
The Roxy Cinema Editor's Suite,Entertainment,Al Wasl,25.20715271298780,55.263411593980700,394
Baku Cafe,Restaurant & Food,City Walk,25.207018775016100,55.26126314663880,266
m'oishî,Restaurant & Food,City walk,25.20861840195110,55.26189318542510,454
Dose Café,Restaurant & Food,City Walk,25.20414744832080,55.262771334157000,230
Sarabeth’s,Restaurant & Food,Al Safa St,25.207246245417000,55.26543707016520,565
Graze Gastro Grill,Restaurant & Food,,25.20879357441300,55.26089235293620,455
