name,categories,address,lat,lng,distance
Fairmont The Palm,Hospitality,Palm Jumeirah,25.11081580704640,55.139914559765600,50
Little Miss India,Restaurant & Food,36 Al Khaamari Street,25.109657,55.141211,136
Palm Jumeirah Running Track,Sports,Palm Jumeirah,25.110547181556300,55.141730254974900,159
Seagrill on 25° Restaurant & Lounge,Restaurant & Food,Palm Jumeirah,25.10997196130790,55.13982617261010,60
West 14th New York Prime,Restaurant & Food,Oceana Residences,25.111401,55.138548,195
Frevo,Restaurant & Food,Fairmont The Palm,25.109958557431100,55.14030226151190,53
Swimming Pool@Fairmont,Sports,,25.109131594325100,55.14117350928590,176
Koko Bay,Entertainment,Palm Jumeirah West Beach,25.109753,55.14001,75
Mashrabiya Lounge,Restaurant & Food,Fairmont The Palm,25.109955600112400,55.140856589263700,87
Willow Stream Spa,Entertainment,Fairmont The Palm,25.109777660487700,55.140726974431500,91
Starbucks,Restaurant & Food,Golden Mile-The Palm,25.111501,55.141334,168
Fairmont Beach,Entertainment,,25.109116742634100,55.14069554295310,155
DUKES Dubai,Hospitality,,25.11197751864730,55.13760991171670,309
Club Vista Mare,Entertainment,,25.11491019927920,55.142618977023100,557
Al Ittihad Park,Entertainment,,25.10896928457400,55.14529256270260,542
Nakheel Mall,Retail,,25.114435087802600,55.138041973114000,494
RIVA,Entertainment,Shoreline 7 & 8 Palm Jumeirah,25.112858703233100,55.14387996094880,463
Shoreline Running Track,Sports,,25.110715832791800,55.1368100958752,338
Mokha 1450,Restaurant & Food,Golden mile galleria,25.110807,55.141364,128
Golden Mile Galleria,Retail,,25.108440863627400,55.14605246908490,633
Fitness First,Sports,Golden Mile 7,25.110686681233100,55.14278227000240,266
Fairmont Cigar Lounge,Entertainment,,25.109900097045400,55.14050292164850,67
Tiara Palm Jumeirah Resort Dubai,Hospitality,,25.11655578537090,55.14190383742680,705
Depachika Food Hall,Restaurant & Food,,25.114217,55.138231,464
Breeze Beach Grill,Entertainment,"Club Vista Mare, Palm Jumeirah",25.115566,55.14302,641
Starbucks,Restaurant & Food,,25.113707,55.139415,373
Khyber Dubai,Restaurant & Food,Dukes Dubai,25.111176,55.137619,269
The Coffee Club,Restaurant & Food,The Palm,25.110695406568700,55.14284969679790,273
Ibn Albahr,Restaurant & Food,,25.11503400730330,55.14281135197790,578
Delicacy,Restaurant & Food,,25.10993,55.140888,91
