name,categories,address,lat,lng,distance
SALT,Restaurant & Food,Jumeirah Beach Rd,25.232979757048000,55.261125027227200,154
Jumeirah Beach,Entertainment,,25.233158,55.261334,172
La Mer Beach North,Entertainment,,25.231253,55.258522,248
STARS N BARS,Entertainment,,25.233473185783500,55.26076303206110,117
Smoky Beach,Entertainment,La Mer,25.231806208562400,55.25963918530690,160
Starbucks Reserve,Restaurant & Food,La Mer,25.230714066903800,55.25922283745760,284
Train Beach Club,Sports,La Mer Beach North Shop 700,25.23359,55.259627,38
Osh,Restaurant & Food,,25.233212,55.260357,74
London Dairy Café - La Mer,Restaurant & Food,"North La Mer, Shop No 39, 24A St, Jumeirah 1",25.232118,55.260624,161
Dubai Marine Beach Resort & Spa,Hospitality,Jumeirah Beach Rd,25.2343354196784,55.26257028466900,320
Sho Cho,Entertainment,Dubai Marine Beach Resort & Spa,25.234851452564700,55.262274713934400,321
La Mer (لا مير),Entertainment,Jumeirah Beach Rd,25.22943331393330,55.25927847496390,425
hola,Restaurant & Food,,25.230860788478400,55.25940425640570,266
BLKCAB Coffee,Restaurant & Food,La Mer,25.230286,55.258376,352
Levee Café & Lounge,Restaurant & Food,,25.233165726169700,55.26034677999660,73
Barefoot Lounge,Restaurant & Food,Dubai Marine Beach Resort & Spa,25.23438010841710,55.26240570374000,307
Loca,Restaurant & Food,Dubai Marine Beach Resort & Spa,25.2334356324516,55.26356717351990,397
Makan (مكان),Restaurant & Food,Jumeirah,25.232214688058600,55.26107437358370,185
Society Cafe & Lounge,Restaurant & Food,,25.232359676256700,55.264180233239900,469
Life'n One,Restaurant & Food,"Jumeirah Beach Road, Street 27-b, Community 332, Villa 5/1b",25.230581549468100,55.26331280833740,475
N.Bar Palm Strip Mall,Retail,Palm Strip Mall,25.233611223940300,55.26449231881410,492
Alshorfa Restaurat & Cafe,Restaurant & Food,La Mer,25.231390729726600,55.26036015815680,219
Gerard Cafe (جيرارد),Restaurant & Food,Magrudy Center,25.230919645624800,55.26367062051170,483
Fuddruckers فدركرز,Restaurant & Food,Jumeirah Road شارع الجميرا,25.231960477171100,55.263659777457400,431
The Yoghurt Lab,Restaurant & Food,,25.230650884714200,55.262603325397600,416
Motomachi,Restaurant & Food,La Mer Open Beach,25.231332978003300,55.25951622371790,213
The Duchess,Restaurant & Food,,25.231038264945000,55.259433012944600,246
Backyard,Restaurant & Food,La Mer Jumeirah,25.232616864069900,55.26043464150980,107
Argentina Grill,Restaurant & Food,,25.233531,55.260253,70
M’oisî,Restaurant & Food,La Mer Centeral,25.229337,55.258893,441
