name,categories,address,lat,lng,distance
The Espresso Lab,Restaurant & Food,"R08, Building 7, Dubai Design District",25.188699678686400,55.29759854078290,271
One Life Kitchen and Cafe,CaféRestaurant & Food,"Unit R04, Building 5, Dubai Design District",25.18830250827490,55.29808896127810,294
Home Bakery Kitchen,Restaurant & Food,Dubai Design District,25.189246343330300,55.29772116597530,319
The Lighthouse,Restaurant & Food,"R01, Building 6",25.18932340944730,55.296760781728600,264
Frame,Restaurant & Food,,25.188906010805800,55.29814007984930,329
Amorino,Restaurant & Food,Design District,25.188654602052100,55.29779898672350,285
DAMAC Towers by Paramount Hotels & Apartments,Hospitality,Business Bay,25.187570934232100,55.29124048331190,418
Craft Café,Hospitality,Dubai Design District,25.189890747208300,55.297735851006100,372
Yui,Restaurant & Food,,25.18885149508770,55.29812005394970,324
Caffeine & Culture Cafe,Restaurant & Food,,25.184602,55.298182,411
Akiba Dori,Restaurant & Food,"Bldg 8, Ground Floor, Unit 5, Opposite Delight House, Dubai Design District",25.189748,55.296924,313
Chez Charles Restaurant,Restaurant & Food,Building 11,25.189403199242900,55.298265046764000,372
Molecule,Restaurant & Food,,25.188757659141600,55.297021564934000,231
Toss'd,Restaurant & Food,"Dubai design district, building 5",25.18867097865280,55.29783679930350,290
Vicolo Italian Street Food,Restaurant & Food,Dubai Design District,25.188214299557200,55.29737270683700,224
The BASE,Entertainment,62635,25.184977398252900,55.29923942490830,466
SKY 2.0,Entertainment,,25.187406364307000,55.3023143641842,698
Harper's Bazaar Café,Restaurant & Food,"Dubai Design District (d3), Building 9, Ground Floor",25.18958074966340,55.29762551281290,339
Mohalla Indian Street Food,Restaurant & Food,Dubai Design District D3,25.18795,55.297947,267
The Vogue,Hospitality,Damac,25.19277325956320,55.28832089587920,936
Starbucks,Restaurant & Food,D3-Dubai Design District,25.1884946,55.2976817,266
Mum's Table,Restaurant & Food,Dubai Design District,25.188448065073,55.29811181248410,302
La Terrasse,Entertainment,Radisson Blu Downtown Dubai,25.19407354487060,55.289317202295200,970
Night Club Morjana,Entertainment,"Dubai Downtown, Radisson Blu Hotel",25.19411274945000,55.289866009122200,940
Taiga Dubai,Entertainment,Radisson Blu,25.194341354432200,55.28920219552380,1001
The Kitchen,Restaurant & Food,"Building 9, Dubai Design District",25.189623,55.297498,334
Business Bay Creek,Cultural & Historical,Business Bay,25.191370830777300,55.29385037210010,478
Van Gogh Exhibition,Cultural & Historical,Fashion District,25.189783,55.300602,593
Pool @ Windsor Manor Downtown,Sports,,25.192431849406700,55.29175096216560,678
The Butcher Shop & Grill,Restaurant & Food,Mirdiff City Centre,25.191119400576500,55.2880847270033,849
