name,categories,address,lat,lng,distance
Asiana Hotel,Hospitality,Salahuddin Rd.,25.26969099782650,55.3250134967225,165
Manila Grill,Restaurant & Food,Al Murraqabat,25.27021320540970,55.3252628816379,140
Lamesa,Restaurant & Food,Asiana Hotel,25.26976309104350,55.325086385144900,156
Boracay,Entertainment,Asiana Hotel,25.26962659454500,55.32525118613460,143
Taza,Restaurant & Food,Al Salahudin Road,25.27022961486470,55.32416819600120,249
Makati Pinoy's Laugh Factory,Entertainment,Asiana Hotel,25.26965573209820,55.32520726242120,146
Marriot Executive Lounge,Entertainment,,25.269103033079100,55.32954065547490,308
Fresh Fish,Restaurant & Food,"Al Muteena Street, 55",25.27402001721150,55.32307307837010,576
Patchi,Restaurant & Food,Muraqqabat,25.264888173393300,55.32732719402830,568
Samad Iraqi Restaurant (مطعم صمد العراقي),Restaurant & Food,Deira,25.26777347517650,55.32173365280630,549
Aroos Damascus Restaurant (مطعم عروس دمشق),Restaurant & Food,Al Jazeera St,25.26808026689300,55.32121239349960,583
Brands For Less,Retail,Al Muraqqabat,25.267621080055600,55.322243672351100,512
Bait al Mandi (بيت المندي),Restaurant & Food,Al Murraqabat Rd,25.26480129474290,55.327605107119700,582
Spice Island,Restaurant & Food,"Salah Al Din Road, Deira",25.270424157389200,55.3266653295892,52
WESTZONE Supermarket,Retail,Al Murraqabat Rd,25.266476021918800,55.32409452886990,463
Griffins Health Club,Sports,"Abu Baker Al Siddique Rd, Deira, next to Hamarain Shopping Center,P.O. Box 16590 · Dubai, United Arab Emirates",25.26843917401630,55.32960812710500,344
Arbil Iraqi Restaurant (مطعم أربيل العراقي),Iraqi Restaurant,Al Mutena Road,25.27414580887610,55.32255775161230,620
AL Shami Restaurant,Restaurant & Food,"Al Muraqqabat Street, Opposite Pachi",25.26499120963700,55.32738462993690,557
Al Safadi (الصفدي),Restaurant & Food,Al Rigga,25.263109822359900,55.325135342121100,776
Caribou Coffee,Restaurant & Food,Al Rigga Rd,25.264900097841300,55.32094192059030,802
Al Sheraa Fisheries Center,Restaurant & Food,Salahuddin Rd,25.27032464699520,55.32054646736490,613
Calicut Notebook,Restaurant & Food,,25.273542226308600,55.32978198375280,510
Crowne Plaza Dubai,Hospitality,"Salahuddin Road, Deira",25.2706957,55.3269599,89
Coral Deira Hotel,Hospitality,Al Muraqqabat St. Deira,25.26584950265650,55.325514708436100,470
Kebab Erbil Iraqi Restaurant (كباب إربيل العراقي),Restaurant & Food,Al Rigga Rd,25.262109518505800,55.326789432386100,873
Yakitate Japanese Boutique Cafe,Restaurant & Food,Inner streer Al Ghurair Centre,25.268362538423000,55.31812251860400,874
Qwaider Al Nabulsi Restaurant & Sweets مطعم وحلويات قويدر النابلسي,Restaurant & Food,Al Muraqabat Street,25.26679860485260,55.323195292604000,492
Crowne Plaza Club Lounge,Hospitality,,25.270696330284400,55.326888579215300,86
YAS Island,Restaurant & Food,,25.262852917642500,55.32341884932450,854
Hyatt Place Dubai/Al Rigga,Hospitality,"Al Rigga Road, Near Rigga Metro Station",25.262955699333100,55.32772321289530,786
