name,categories,address,lat,lng,distance
Spinneys,Retail,Cedre Shopping Center,25.12712508571410,55.39670268230270,226
On The Wood,Restaurant & Food,Dubai Silicon Oasis واحة ربي للسيليكون,25.127500835846100,55.394317684029300,43
Oregano,Restaurant & Food,Cedre Community Center,25.12697593129160,55.39701461791990,261
MASSAAD BBQ farm to table,Restaurant & Food,Cedre Villa Community Centre,25.1274969418909,55.396752774833300,221
Starbucks,Restaurant & Food,Souq Extra,25.11897357611400,55.39475891485870,983
Souq Extra!,Retail,,25.119592281223900,55.3956670697176,921
McDonald's (ماكدونالدز),Restaurant & Food,,25.11968358811700,55.39582645840740,913
My sandwich,Restaurant & Food,Al waha mosque 3,25.1246,55.4013,765
Haru Robatayaki,Restaurant & Food,,25.127743979267400,55.39675301386970,218
The Oriental Chef,Restaurant & Food,Cedre Shopping Center,25.127439904654900,55.394351763145900,47
Starbucks (ستاربكس),Restaurant & Food,Cedre Shopping Center-Silicon Oasis,25.12,55.39,984
Cedre Shopping Center,Retail,Dubai Silicon Oasis,25.127181,55.396973,250
Carrefour,Retail,Souq Extra! Shopping Complex,25.119635215344700,55.39564620448740,916
Cha Cha Chai,Restaurant & Food,Danube BUILding,25.118869734532400,55.39423911560660,995
Starbucks,Restaurant & Food,Souq Extra-Dubai Silicon Oasis-DriveThru,25.120255,55.394772,841
Fitness4Life,Sports,Cedre Shopping Center,25.12752837193530,55.39440897465120,35
La Brioche,Restaurant & Food,Dubai Silicon Oasis,25.118818,55.39448,1000
KFC (كنتاكي),Restaurant & Food,,25.119958845475000,55.39592799132140,884
Luxury Mandi Restaurant,Restaurant & Food,"Le Solarium Tower, Ground Floor, Dubai Silicon Oasis",25.1224999,55.3976407,666
Bayti,Restaurant & Food,Le Solarium Building,25.1226082370232,55.39788961002290,667
Fitness4Life Premier,Sports,High Bay Business Center,25.132603561999500,55.38759619512550,883
Marble Slab Creamery,Sports,Dubai Silicon Oasis,25.127466114529700,55.39438521716540,43
Omah Ku,Sports,Dubai Silicon Oasis,25.127494009620600,55.394336428899300,42
Cedre Villas Green Zone,Entertainment,DSO,25.12746745047210,55.39437302606210,43
Supercare Pharmacy,Retail,Cedre Shopping Center,25.127467966409700,55.39435535008470,44
Hallmark,Retail,Cedre Shopping Center,25.127484015913600,55.39438695377780,41
Cedre Villas Pool - Phase 2,Sports,Dubai Silicon Oasis,25.127472025036900,55.394357720550500,43
Al Shorafaa Restaurant,Restaurant & Food,Le Solarium,25.12269257475460,55.39783078356320,656
Green Belt Supermarket,Retail,Dubai Silicon Oasis,25.121680952092900,55.39791552691270,760
Sharaf DG,Retail,Abu Dhabi Mall,25.123161,55.39141,608
