name,categories,address,lat,lng,distance
Al Marhabani Restaurant مطعم المرحباني,Restaurant & Food,مقابل القيادة العامة لشرطة دبي,25.280414727004400,55.35445070174290,668
Dar El Hay Cafe,Restaurant & Food,Opp. DXB Airport,25.269551724063000,55.35514385983250,724
Al Fareej Resturant & Bakery مطعم ومخبز الفريج,Restaurant & Food,"Al Tuwar, near the mosque and Park behind EPCO",25.27164276454030,55.3658537196022,880
Rashed Stadium ستاد راشد,Sports,Opposite Dubai Police HQ,25.279652543003100,55.36027480147650,512
Lulu Centre,Retail,Al Nahda Rd,25.279301950589200,55.36200914051340,575
مطعم بحر الامارات Emirates Seafood Restaurant,Restaurant & Food,Hor Al Anz East,25.280417595338100,55.35147037290980,873
Al Yamen Restaurant مطعم اليمن,Restaurant & Food,"Abu Hail, Behind The Grand Station",25.281865645781600,55.35291217016270,890
Baskin-Robbins,Restaurant & Food,Hor Al Anz,25.280551824631400,55.351095808891600,912
El prince El Amour (البرنس الأمور),Restaurant & Food,Abu Hail,25.280720287459000,55.3528635282795,794
Baqer Mohebi Supermarket,Retail,Abu Hail,25.27773167784780,55.35069603965760,796
Tasheel,Bussines,Opp Al Mullah Plaza,25.284400611249800,55.35794619519040,996
مطعم المسكوف العراقي,Restaurant & Food,,25.280556147502800,55.35336480433820,747
Koukh Al Shay (كوخ الشاي),Restaurant & Food,Abu Hail,25.28000551763900,55.35262836059820,755
Al Damyati Foul & Falafel,Restaurant & Food,,25.269043511156900,55.35490661470920,786
Bu Mhayyar,Restaurant & Food,,25.269259869368300,55.35524585028060,750
Juicy Café,Restaurant & Food,,25.27826374665710,55.352170873140000,682
Kanaka Speciality Coffee,Restaurant & Food,Mamzar Center,25.280159,55.35346,708
McDonald's (ماكدونالدز),Restaurant & Food,Al Bustan Center & Residence,25.274093685262300,55.36650837366270,850
Bangkok Town,Restaurant & Food,,25.280127571319100,55.35115434956200,879
Dar Al Hai,Entertainment,,25.26956836796360,55.355079676089600,726
Zahrat Alquds Restaurant مطعم زهرة القدس,Restaurant & Food,Al Mamzar Road,25.279814876920200,55.35085857378040,883
Farhat Al-Asli,Restaurant & Food,Al Mamzar Road,25.279347229249000,55.35023088887130,911
Salkara Restaurant,Restaurant & Food,Lulu quasis,25.278353152857200,55.36185263438090,489
Bait AlKanafa & Traditional Food,Restaurant & Food,"Abu Hail, Deira",25.280834650172900,55.35187495437150,873
Al Maskoof Iraqi Restaurant,Restaurant & Food,,25.28056777683860,55.35334036476590,750
Italian Juicy Cafe,Restaurant & Food,Abu hail,25.27817735258010,55.3520654035199,687
Starbucks,Restaurant & Food,Dubai Airport-Terminal 2,25.267311,55.3549666,962
LuLu Hypermarket,Retail,"Lulu Shopping Mall, Amman St, Opposite Rashid Stadium, Al Qusais",25.279158,55.362467,596
calicut notebook restaurant,Restaurant & Food,,25.279685612980000,55.362376543887900,632
Dubai İnternational Airport Starbucks,Restaurant & Food,,25.269404,55.354211,783
