name,categories,address,lat,lng,distance,code
Arabian Tea House Cafe (كافية بيت الشاي العربي),Restaurant & Food,Al Fahidi St,25.2633989478618,55.2996949224087,134,1
Baskin-Robbins,Restaurant & Food,Al Ain Centre,25.2644497334276,55.2999943392848,23,1
Al Fahidi Historical Neighbourhood (حي الفهيدي التاريخي),Cultural & Historical,Al Fahidi Historical Neighbourhood,25.2639199379145,55.2998809580735,75,1
Coffee Museum,Restaurant & Food,Old Town Dubai,25.263667,55.299817,103,1
Sheikh Mohamed Centre For Cultural Understanding (SMCCU) مركز الشيخ محمد للتواصل الحضاري,Cultural & Historical,Al Bastakiyh,25.2640913612675,55.300794815804100,112,1
Sikka Art Fair,Cultural & Historical,"Dar Al Nadwa, House 20, Al Bastakiya",25.2640007022339,55.3000267339439,69,1
MAKE Art Cafe,Restaurant & Food,Al Serkal's Heritage House,25.2639599833652,55.2995422465271,76,1
XVA Cafe,Restaurant & Food,"Bastakia, Bur Dubai",25.2640237554778,55.2997078956277,65,1
Mazmi Coffee&More,Restaurant & Food,,25.265007,55.296505,337,1
Starbucks,Restaurant & Food,Marsa Al Seef,25.26469,55.30403,422,1
Special Ostadi Kabab (مطعم الأستاد للكباب الخاص),Restaurant & Food,At Mankhool Rd,25.259961,55.29894,524,1
AMIT Garmin أميت. وكيل جارمن,Retail,Al Ras,25.2662681661124,55.2951460757082,506,1
Jafer Biman Ali Juices جعفر بيمان علي,Restaurant & Food,"Spice Market, Bani Yas Street",25.2677460090324,55.2976457588878,413,1
Dubai Museum (متحف دبي),Cultural & Historical,"Al Fahidi Fort, Opposite The Ruler's Ct.",25.2635307348801,55.2972739797241,283,1
أرض الزعفران,Retail,,25.2698401214977,55.2978995104722,614,1
Bastikiya Art Cafe,Restaurant & Food,,25.2634492450874,55.2996954548325,128,1
Best Western Plus Pearl Creek,Hospitality,Baniyas Rd,25.2677858,55.3046898,604,1
Trattoria Pizzeria,Restaurant & Food,Al Khaleej Hotel,25.2682198122594,55.3036650914747,558,1
Al Seef Hotel by Jumeirah,Hospitality,,25.2637728605917,55.3052455186844,552,1
Old Souk (السوق القديم),Retail,Bur Dubai,25.2647419780923,55.2946331907035,523,1
Bastakiah Nights مطعم ليالي البستكية,Restaurant & Food,Bastakiya,25.2647216839169,55.3004610793135,64,1
Grand Souq Deira,Retail,,25.267317,55.296957,418,1
Baskin-Robbins,Restaurant & Food,Al khaleej Shopping Mall,25.2593622899231,55.299147267051700,587,1
Spice Souk,Retail,Baniyas Rd.,25.2676211729528,55.2975107849448,409,1
Vaibhav Restaurant,Restaurant & Food,Burdubai,25.2622065380374,55.2941084315618,634,1
Shiraz Nights Restaurant,Restaurant & Food,Baniyas Square,25.2680466284843,55.3050380482831,649,1
Jumierah beach,Entertainment,,25.2570405445919,55.3013225302775,854,1
Al Seef,Entertainment,Al Seef,25.2616508592383,55.3084497577229,927,1
Al Serkal Cultural Foundation,Cultural & Historical,Heritage House No.13,25.264077,55.299542,65,1
Dubai City of Gold,Retail,PO BOX 26909 Gold Land,25.2703054580707,55.3000483303901,635,1
Shakespeare and Co. شكسبير أند كو,Restaurant & Food,Community Center,25.056622002242200,55.26993514068960,168,2
The Hampton’s Cafe,Restaurant & Food,,25.056171,55.269972,150,2
The Village - Arabian Ranches,Retail,Sheikh Mohammed Bin Zayed Rd,25.05670171922840,55.27051693187760,223,2
Arabian Ranches Golf Club,Sports,Arabian Ranches,25.05157706192540,55.26867979389990,469,2
Ranches Restaurant and Bar,Restaurant & Food,Arabian Ranches Golf Club,25.05097283899070,55.26864680979210,536,2
Pizza Hut,Restaurant & Food,"Community Center, Arabian Ranches ""1""",25.05674345835680,55.27053569694330,227,2
Maison Mathis 'Arabian Ranches',Restaurant & Food,Sheikh Mohammed Bin Zayed Road,25.05133969924850,55.26920123467870,499,2
Costa Coffee,Restaurant & Food,Community Center,25.05670159591140,55.27060964280410,232,2
Caribou Coffee,Restaurant & Food,Arabian Center,25.05516163081090,55.27121109363580,278,2
Al Arrab,Restaurant & Food,"Community Center, Arabian Ranches ""1""",25.05665463913490,55.27021863677230,194,2
Burger King,Restaurant & Food,Emarat Station,25.058722736843600,55.26476541264070,501,2
Carrefour Market,Retail,Community Center,25.056718511295900,55.270469142070700,220,2
RAKBANK ATM,Business,Town Center,25.056456,55.270372,199,2
Pet's Delight,Retail,Arabian Ranches,25.056692035996400,55.270396104150100,212,2
Medi-Link Pharmacy,Retail,"Arabian Ranches, Retail Centre",25.056743,55.270571,230,2
